component_key,Authority,split,image_count,filenames,relief_group_keys,content_sha256_values
component:0fefa98f5ee860a9,Ashurbanipal,train,2,BM 124863-1.jpg;BM 124863-2.jpg,object:bm_w_1856_0909_16_7,15e3a58768003284a8727b2147692e4ff201f7bd2b40d6a562bb8520afcc9c75;6291698c9a52d8f76e9ef9369bb6281aad5b23dd8c274f4f64dfe53c843f4427
component:139252299d267a57,Ashurbanipal,train,6,BM 124928-1.jpg;BM 124928-2.jpg;BM 124928-3.jpg;BM 124928-4.jpg;BM 124928-5.jpg;BM 124928-6.jpg,object:bm_w_1856_0909_33,12fc205425accf9033455c3734b8354ef292e92835e28f0d1df24ba7c419beef;5dd00b7fff51d66f87d67b3207094c3ea163c83761e51cb4aee070a1d7c078b6;5f8885d2e9a09320930747de9a87ca550ce5724d4e63b13a4a9051dbf580080f;9580e18ebcdcb33c94ed9336d5e506cd8bc42930e0866eeeb52dcff6120b3cd7;c92e4ff3fe40b8335622ac9ed6aed43f1332a27fe882e0499191c8c918664df4
component:139864b96e6ccf45,Ashurbanipal,test,2,AO 19904-1.jpg;AO 19904-2.jpg,object:louvre_cl010123114,3e04fa94a8915fe57fc7493fb3688a151824e4d03f704fa972dcf28970522829;dacd1b4fef94bf8f2edda42507bc81defe8e60d1c6c4ed0d99f24594d28cdd3d
component:13f42e84829385d1,Ashurnasirpal II,train,7,BM 124538-1.jpg;BM 124538-2.jpg;BM 124538-3.jpg;BM 124538-4.jpg;BM 124538-5.jpg;BM 124538-6.jpg;BM 124538-7.jpg,object:bm_w_1849_1222_10,4d3562d23aa80276db355ad43afdcc98f76feae50886114a22c489b7c2ccc443;7808176d6e85a888969d3f5bec477cc967c9aa097ce36e0f6576ee917cb3b6cb;92fe9b165b4c09502b9a6d25bc3ba128bd8c8987a848711b8b8ca03b3742b13d;98eb68ffd59973065857786899dd3108954df17c23041fe91e10b9a471af22dc;c883fb8236cbe00ddc5a54535173389d295af94175ac8344da1463f3418992ee;f256268cf0abf7111bacba078ed106bae55bff3d08ac816631c3b55931355fef
component:14aa59f2757727fb,Sargon II,train,1,AO 19871-1.jpg,object:louvre_cl010122696,1531fbe4253cfd25e3c3821f60acfd23f0b3d1b3c2b0405988d3f6e1442a7ec6
component:163b7fbb90fc152d,Ashurnasirpal II,test,3,BM 98064-1.jpg;BM 98064-2.png;BM 98064-3.png,object:bm_w_1903_1012_2,bf6295f90b472a7647053e1b2af192b7d56053acf1a871b8a8f32a594838e3c1;c67174d6b613f17d277485d50f26fc3cfc24b7d963ac8c3444494b1ed29446a1;e9168167f6fc253caccd46a9f5f2bc668a8048f5df70fbe8bdef6f9e7214e116
component:171a483dd91aa166,Sargon II,val,2,BM 118826-1.jpg;BM 118826-2.jpg,object:bm_w_1847_0702_8,ae9fee02fa8d0f27150412a25db5e410667086e00c373eb170934cf4063d377a;e323688f86ed6c9b6832108a9b42c00f8b25b9aa665813113a80a655000abb1a
component:18ed313c9c99a6e2,Ashurnasirpal II,val,1,BM 135156-1.jpg,object:bm_w_1895_0410_1,8ddcfc2d516fe67c088fbda78b2ac9033a4ed833adc00bd72023efcbc02be1a3
component:19105d9a8b80048a,Ashurnasirpal II,val,2,BRK 55.155-1.jpg;BRK 55.155-2.jpg,object:brooklyn_55_155,6a137e334f53101cd72a4dac07ec624fea8f42b478534061a7c080cc2a612660;eb9274a45161c1e783b28cb0b3da736c571207c7acf27b9b7de4993352b7871f
component:194818d86f4f5bc5,Ashurnasirpal II,test,1,MET 32.143.11-1.jpg,object:met_322618,08cdb132de5e21e1163613d8e28b16af26d4660707ad6e59805fa6b3d312806a
component:1bac5ff573ed447e,Ashurnasirpal II,val,1,BM 135157-1.jpg,object:bm_w_1895_0410_2,f047b78d0161625175683398ee39df162eabfb5e70bb78fbbc493c649e64b4f8
component:1bb07f297c6fee31,Ashurnasirpal II,val,2,BM 124583-1.jpg;BM 124583-2.jpg,object:bm_w_1849_1222_21,8e3209f0dcceb32775652e8e9f29038300e8ec8dedd2bb1c0c5cb901a0a413e2;d169a739f0dda04038a34aa415e9bd3f70dec7226270429e204a354d47952c42
component:1c43cf51b033625f,Ashurbanipal,val,1,BM 124853-1.jpg,object:bm_w_1856_0909_15_5,c4ed9b05232ae46c736dcdf4eadb448c5c6c6dba23f50368867a7af5d0d33573
component:1d0f12f23787ad6e,Ashurbanipal,train,1,BM 118917-1.jpg,object:bm_w_1856_0909_27,f00c0a15098f744253464161c7f0c214ca084370e431e9a1fb5180c984325aee
component:1e557c5a50ee4473,Ashurnasirpal II,val,1,BM 118874-1.jpg,object:bm_w_1848_1104_12,4cb1c2d745f9e7832be3ca28445182e02c0e23373b06a645e15ae34a56255faa
component:1ea64e618b4f360d,Sargon II,train,3,HM 3944-1.jpg;HM 3944-2.jpg;HM 3944-3.jpg,object:hermitage_86820,4711d7d3a0fc93cbd8359fdfa9e2813f94fb776d6e3f3acf5429cafcb8d4d2f1;b1271985ede6611d58b9ab0b770abf73d4b7d84b3df5f50a482b3239310ef688;c29f8893174b2405cf540103b19453545f11aab7f45800cb54b078b3e167db70
component:1f23fa1ca4c4a2cc,Sargon II,train,2,AO 22196-1.jpg;AO 22196-2.jpg,object:louvre_cl010122728,b23f718bfa32bf48f82ff15dac98b8128678949e09f87cbb115bbdca420baeb1;e59e23b72c59ce72f9f324b9b8873b0bbc74355b4c70b6fcead4c6bf97cec0a9
component:1fa6775155a411ef,Sargon II,val,2,AO 19922-1.jpg;AO 19922-2.jpg,object:louvre_cl010122725,0577f64783062418c878945dba24a55a5f3364747af2bf9cbb4bbd79094c18be;84444c384f7701bfc7c2a3d8ad45b534043c28bc25d7b1fa8ae578153b0ea029
component:215397b113a8fe8e,Ashurnasirpal II,val,3,MET 32.143.4-1.jpg;MET 32.143.4-2.jpg;MET 32.143.4-3.jpg,relief:met_32_143_4_32_143_6,7761612e6c5c431f2bad18340d3167e333883741d0d7e347257d98f789c21ad8;9a9daee80346a5eea39effc66adc8233c9c6411efeea17033ff5514522af20d5;f4c93090bd86fd2cc4cfe9b180d966470c91665fa68b5b422c2efb949abab9cb
component:225675e484c11a2d,Ashurbanipal,val,3,BM 118914-1.jpg;BM 118914-2.jpg;BM 118914-3.jpg,relief:bm_118914,0936f27313b5ee814565c7c429041e1bce34ae5ff0239d433ccbcd67f92f4cf2;85a30ec154f92792bf01f66dc18a7ec60ec590edeb48e2eedd9ea987611d8940;b18738351ef40079ea068804e8f5b4e996efdeecc11e750b19aebf5a52964ad2
component:2267ae1a000e44cc,Sargon II,test,2,AO 19897-1.jpg;AO 19897-2.jpg,object:louvre_cl010144618,c570ca8648ca0f63149ac12537112b4939e07e59fca9687c24dba12c1f6f82d6;f7e780a5fa8839d063ac0201385ea039bed613eacbe1ca621f4ae1b0469f1b29
component:242afe8b9ec37c4f,Ashurbanipal,train,3,BM 136774-1.jpg;BM 136774-2.png;BM 136774-3.png,object:bm_w_1976_0201_2,07bd24c62ae1de349f414755d4c19eeaecec32872e55424bb2a1c010c55da907;09edfaa66f8b4c6310d59c578c154eea39ff86a74a8ecb1d3cc0f5d1b19d67e9;b6d8f07a7230db636f9fe8e4d3a554992c712cd537534b5bd3d8465c9ff9e24b
component:249769d3ac78a884,Ashurbanipal,val,2,BM 124773-1.jpg;BM 124773-2.jpg,object:bm_w_1851_0902_29,14416a3b3f4631f27d115719f25ad8ff8f126a59f85516e87f2ffc7902b946da;e1ec6f42a3db37aa9649454058480a116c6e5900774517c9f8749ddc25593fdb
component:26e66da85c7a430b,Ashurbanipal,train,9,BM 124866-1.jpg;BM 124866-2.jpg;BM 124866-3.jpg;BM 124866-4.jpg;BM 124866-5.jpg;BM 124866-6.jpg;BM 124866-7.jpg;BM 124866-8.jpg;BM 124866-9.jpg,object:bm_w_1856_0909_16_4,09ade9f0d01fa8908e78463f9a569200177a22f2a2ea25cf72db6a6efa34220f;158770ceb8e5161e2389833d4702448919a82d77382177a506e4da9b7229d6f4;31ee3559c89889cd54f1270621110f7cd07d3c8ee7b68c9304a40142ec385610;338a046dceabba909f20d615d18ec6fd6f660f1c53477614b78ac0892680b0f8;5aeaf3c042e8b67ebab8783dceede726e0b63d931194ea5acc99c738b22a24b2;9152015f5dd97f0ac155f71c682d8d0d952644db6662142bf7a7948332dee7bc;92cddb21db0dadecc4a31b10ef0bc44cd0fe81e0eff64bbfd6ab4b48f3182f31;a42b70b8347fb4b52f0160aedf29d7479ec73b8e04c6a08544998b777d66b808;ff21b32cc5607f2c823162c3a75987cd28fded74a2a364255df560731149109c
component:2853e250d91ebacf,Ashurnasirpal II,train,3,BM 124542-1.jpg;BM 124542-2.jpg;BM 124542-3.jpg,object:bm_w_1849_1222_17,890725c52b9a717b2582cdb058df1a7c893c95a08286fe3afaae8bfefc9d2444;b126fe609b51afbaba7321da650f8122b65f5fdd3fa95582a5e83977c243124e;ffc43c68bf652542f313b45e4bf7b8b24fd5ea45e0ff11871dc765494d4bcc15
component:2de276763d24f2fa,Ashurbanipal,train,4,BM 124955-1.jpg;BM 124955-2.jpg;BM 124955-3.jpg;BM 124955-4.jpg,object:bm_w_1856_0909_1_5,299b9f30fe421d5680c82e78c2ef9550af5aa91e370d37dab6238f51dee8b7c9;41f56ad9e340ac99855c7e2144faf7eef3ccf0dd803c6dc8587cb2610008a613;49b6ecf142ae3d622f6889a39bb0b028fa18110661effcd853f92c4b61572302;f3d9574821f9f0b94f5339247fb575313ede0985679ac356a9200ff52984585b
component:2e0d151c3d3af4e8,Ashurnasirpal II,val,4,BM 135741-1.jpg;BM 135741-2.jpg;BM 135741-3.jpg;BM 135741-4.jpg,object:bm_w_1856_0909_208,00c27ad50e447ee193f178e979a28124be2a76308d4f38e75e2362619c77223d;09af695f5501aff868dc340451d0bedf5af2081495d221dce63b17ec705c32a8;238ae9efe1183c0a0b751a02482a497889f10d9d5784adb0e23d335c65652125;cd9f8170e6dcb5f1070cae9c2a847568baffa6306940c294bdad8f101aabe1f1
component:3073a63f6c4efce2,Ashurnasirpal II,train,1,MET 31.72.2-1.jpg,object:met_322594,c41e1be3eb6cee26d236e6c39f8a83d616c0111dea952f50e21488cc99d0a56b
component:31c240ebae704a9b,Ashurnasirpal II,train,4,BM 124556-1.jpg;BM 124556-2.jpg;BM 124556-3.jpg;BM 124556-4.jpg,object:bm_w_1847_0623_7,1d241113c425248813a050ea8d279dcbfc1b2ebe7f23616e68d800b999ad8439;377eef771fddc85bf4d98734c9fcd6121d8acd678ed36b83fde98a74e539a7aa;bd2d4681c0959e6e88e22230685ab2263faee18aa14ba63826e138021b264091;ed7fe89fbfe3dda8b32fd2226a3423279fd44ee5f9965d413b8bc02f3f220967
component:31d0a238521b770a,Ashurbanipal,val,1,BM 124879-1.jpg,object:bm_w_1856_0909_48_3,75030a217f42f21074a13c50716bd9394cf7522621624475341263e208c03908
component:3697cf77676acf92,Sargon II,val,2,AO 1432-1.jpg;AO 1432-2.jpg,object:louvre_cl010122684,19e8f132c3d0f1811cdb445df5dd7403434ea518192e0a9ec753379fc87a8c69;9230376dded008c47a8972ea5dfafb77a91a4a52c84d6923761d713194b52e85
component:389caffffea9065d,Ashurnasirpal II,test,2,BM 124560-1.jpg;BM 124560-2.jpg,object:bm_w_1849_0502_1,2cf60b20efcd33fdc73a1b12f592b70137620be01806209e9ffb0558dc8e8163;ada6997baa402570c083201dce45ce3b732fa03138c59cfc29654088d53b7849
component:3e985709cf1b12d1,Ashurnasirpal II,train,2,BM 124561-1.jpg;BM 124561-2.jpg,object:bm_w_1849_0502_2,6c73055487b8ecd056615bb61ede9ad6b19156d609d51002eebab668235fff4d;8d4e3950157ec6412cc5802efea8a02c7d41a8966ba377722d9b004de90b455e
component:3f2eade201d3abd2,Sargon II,val,1,AO 7375-1.jpg,object:louvre_cl010122556,51062eaa12bce999bc8faf1424f3819158ba7a3efe77faf2a13978f859fda61c
component:40153bfc4655886e,Ashurnasirpal II,train,1,MET 84.11-1.jpg,object:met_321613,6c0d8532ab1faacce23a7ca87741937355bcd8f771ced223a70939ac1663fec6
component:45464579fafc1cb5,Ashurbanipal,val,4,BM 124860-1.jpg;BM 124860-2.jpg;BM 124860-3.jpg;BM 124860-4.jpg,object:bm_w_1856_0909_16_10,2aec146089d2f72265d229853ae884be0beea2ffa708904a05575e2e6fdb90ea;4aa9ffc37142b931b3df3215e07c3f4ec29b1bc2564a0f2fe812932220a48f0c;72576878a429f419b9b4c2a90408890fad99592494fb25b4f3fbf875e0c263f7;8a6a7cf22a9162dd536a870408d6bbe4e288bf4cdea7036d32daa1264ef9a209
component:4833eb143da10e06,Ashurbanipal,val,4,BM 124864-1.jpg;BM 124864-2.jpg;BM 124864-3.jpg;BM 124864-4.jpg,object:bm_w_1856_0909_16_6,b305e123557c954bf06d157727564ae6e32ad3b641871ae0d62fdf5a59e64ff3;bd97aa6e30c16974a22a1a0dc44286027d703baffb5bf570d1979f7c44b838fc;bf6755376e1b9d99ce75a49c1c8a40fa31969617843acfb3f3cfe1de8c1de52e;f9a195002795399087f60d9383ebdc57bc7cc97261c4be792759080a83621f87
component:498119326172e19e,Ashurbanipal,train,1,BM 124884-1.jpg,object:bm_w_1856_0909_49_50,b7e3043f8df7b9c9d58082b291406b05fc9545c2c8a7db04e54cdd2c9730b397
component:49dfc86ff54bc4de,Sargon II,test,2,BM 118829-1.jpg;BM 118829-2.jpg,object:bm_w_1851_0902_34,3dee47f08ad23df92231626ab97eaa5d430fe0fff198b01d3fa4f03ca1452759;b58995baa0f2b54d1c07b5e1f767ee529ee1cf9863eb7ac9f55c58cd59683f77
component:4bfc973eedfc63c4,Ashurnasirpal II,val,1,BM 118922-1.jpg,object:bm_w_1999_0122_1,ecccfb8acb362e9c93b1e2b1a19a8bcf89940246f967c297e6544cd47f09a7e0
component:4c3567b32080450e,Ashurnasirpal II,train,1,HM 3939-1.jpg,object:hermitage_86815,c109d904fb56e34c943181af5ee62532960283a645e99bcd771ab49b627b3d8c
component:50368ece00ecbe9e,Ashurnasirpal II,train,5,BM 124537-1.jpg;BM 124537-2.jpg;BM 124537-3.jpg;BM 124537-4.jpg;BM 124537-5.jpg,object:bm_w_1847_0623_10,340df10509fc6d92192ce51c3c06157d91e4d8c43802de266d72c005ba5147d9;748eb234f98e3cc2304a213f4628c7797147aeac5118219aba6cac1651cdd5d9;848a4774b70e328186a6aabeac217d4d7bcf055eb54b292bdd9f93666e6cb208;8873ae607abe0209f6b7d0061e09b584871f536bbb9c84a3b40dd5fbfb49f351;ad9dc93dfd7b60e58b26431d114955cd3a84caf9ca59204eb45755f07f8369f6
component:522b510b30a82ec1,Ashurnasirpal II,test,1,MET 32.143.9-1.jpg,object:met_322616,97dc94cdb7f5a3f899380378683d26d53ada321747efc1166300fcd3da449ab7
component:523e94ba0d2d4c84,Sargon II,train,1,AO 7374-1.jpg,object:louvre_cl010122555,884a3ec465ded441554e6239d90b2f9e4d576455599d89465e0d4691488685d8
component:55138a9168c67a6e,Sargon II,train,8,AO 19873-1.jpg;AO 19873-2.jpg;AO 19873-3.jpg;AO 19873-4.jpg;AO 19873-5.jpg;AO 19873-6.jpg;AO 19873-7.jpg;AO 19873-8.jpg,object:louvre_cl010122698,10b2102eb50202b5314f6b8bb6da426a7229cc29e2c8699a001a1440efe8e23e;368c9d7909442f606f90c5314e39191d3e20633175232eaf17dd7872997a924d;4a7831fba5c10b4778e1986a79acf3971b29259fd25f1d2a3de09ad1aab782b0;9c02a82f978591b78ee384850d2909262cc22e5cc4bf4fcfe388957001cd7198;ab01291d25306b08be1061c9d3c98f2fc593b8234cf50855d8ef1c8f9d1efac4;b4c011169b203b596be6196957ef856ef0494c33628c5d3899e7335a4bb6feb6;ee93b98e411e4cfe4ec23b7f625fca0aad80807c74c667a7e444722ca639f3c2;fdb84952046bcd7bd3729e83ff64acca9b790be49e068762301e4036f7cbda7f
component:553eddc261bfeb8b,Ashurnasirpal II,test,1,BM 118803-1.jpg,object:bm_w_1880_0130_5,962dc3519466ca1783bf60b7d48f543e4179a48550fbf61fe711c20781e70fa0
component:5694b5b3d9601b8c,Sargon II,train,2,HM 3945-1.jpg;HM 3945-2.jpg,object:hermitage_86821,2eec64ba824e9ce426af1f38d51dd40cd773e4ff10cf85bb2c3b6bf3f88c7483;d50c38cf2e94a75ebc063a388840cff1fceb0c5750c45ce80de5d9e449e82225
component:58643190660ea037,Ashurnasirpal II,train,4,BM 102401-1.jpg;BM 102401-2.jpg;BM 102401-3.png;BM 102401-4.png,object:bm_w_1906_0714_2,69526e536ba24e7f961a9217bd5b1e2fa98ede5d608754f93a3eb6e3625b3c34;8ae140a8a61cf089479e5486057c6d8f15361e6006827c9396cb1e7bcc19162f;b6d26c6b00fcb053e0590924ffccf9756f16db2495fff400179b8bce23905388;fae12adb41b9284bf0fddd911be66e6ec4f3e30244af4388e959d20476f0ec20
component:59b79106796ffa78,Sargon II,train,1,AO 22197-1.jpg,object:louvre_cl010122729,f6c5162ccc61a13060b18932d8f56a5e94a407f3fe16b57a3dbaa924dbc9d60c
component:5a3ea3d7d07bf037,Sargon II,val,1,MET 33.16.2-1.jpg,object:met_322896,326e42381420890a0b755746ad7c18b73b1937a70226a013b7bcdbab4d19e98a
component:5ac1df0635a784a9,Ashurbanipal,test,1,AO 19902-1.jpg,object:louvre_cl010123112,d377ea453e3bea9140a11adc7ca10c42bffde12e1335b053f74e22b0e4cb43c9
component:5e021a1f487bc669,Sargon II,train,4,AO 19881-1.jpg;AO 19881-2.jpg;AO 19881-3.jpg;AO 19881-4.jpg,object:louvre_cl010122705,0318d9e631354b1d5745d005189a047de96c780adf8718dc8792b9fc51ee268f;734fbed4c1bbcd66f71af5878a405739390340a51118d9b034f3a274803b3d17;a9c8772d4c1ed2c3d5c25c0307cf283496a05aa86985180a1a7e43eba0afa118;d893860389e15ec2e2f76c5c8367efe72e53487480961026f347d7bc4ded29a1
component:61844604118d8373,Ashurnasirpal II,test,1,MET 31.72.1-1.jpg,object:met_322593,0d11c23b29fd89966935c878a12ec5fa7fde812c9b7c297225f9f4c0d978e44b
component:63b31dd3bf2f99b3,Ashurbanipal,test,1,BM 124888-1.jpg,object:bm_w_1856_0909_19_3,4535a06025c72eba4b76b458abf1393f98c34513e6b47b7479cb6195067ab7a0
component:650b4f291e093537,Ashurbanipal,test,4,BM 124868-1.jpg;BM 124868-2.jpg;BM 124868-3.jpg;BM 124868-4.jpg,object:bm_w_1856_0909_16_2,288373a950aa651159030f9fda1c5d3cfe0e1152eebfd9393cb7f0b7c12340a5;290eec9ebd378932dd0e10f9e9212cd5edbcb78589e2dc2d81fbb7269d30a1c7;8eab1d9f9785178b2a245c0e5241a700afb0a4fe0d8d16b7ac9609c1a9d6ed75;9a48017acd1e0f38c4336019a21758d9c920275408263884e2fa87bb9e8736dc
component:66205cc2821f7266,Ashurnasirpal II,val,2,BM 124576-1.jpg;BM 124576-2.jpg,object:bm_w_1849_0502_3,37bd5b1279aa29d47560f1732d225d0d99982767af5a3991190954d329b385b3;b6f68a424d79fe3537dea8b1636b264caadb3244a86e159f70879861a43ceda7
component:67088b2d9af71f3d,Sargon II,train,10,AO 19889-1.jpg;AO 19889-10.jpg;AO 19889-11.jpg;AO 19889-2.jpg;AO 19889-3.jpg;AO 19889-5.jpg;AO 19889-6.jpg;AO 19889-7.jpg;AO 19889-8.jpg;AO 19889-9.jpg,object:louvre_cl010122712,369f7e920ca08e85f32231a4c5f34193de4a28c3a9400a27aa65897909b853b5;4d271186c25570bcc8c69bf8bfc802b592382419ba453fbba43eb75de646989b;548419e6326f93ca847e5243f30b09df33f687c9a7908a41c0445ac36c949d8b;922fcdee0c53041c5ab72aba28bd98e551a4252c7691d7612f92ca517de1a5e1;a21d9190f2b704e93aec66afbb59b51046acfeb439fcf6b96afd9f9dc102270a;b967ff776b2b71af6fda9bffe3015cabd0ba7bc60ddb6b4583d1265ceb63d2bb;cb0442ee79769a48bf0eb413314c8614043040170f2003315c8474d66db5ebeb;e49c7e910d353e49aed8f7f5cd1c822ed783f0232db46e5338a0db158ec5b737;f04dce413fe3ad16af2d2756a1a3999e004803d7b5cfe6fca505e8ceacf36f02;f128bebb341f97b85d1a5aec99b6fe6058d8ac47133dcab258ce37b837f0497a
component:68d57114ead66984,Sargon II,train,4,AO 19877-1.jpg;AO 19877-2.jpg;AO 19877-3.jpg;AO 19877-4.jpg,object:louvre_cl010122701,4bef1a6777a790ad4afaacc43de2540149ff5a7248ec6d5f0c211776db67423e;96c576241bd6c03841b3112cbe44937f41fd544111843390ab25ce338bd418a6;d9adfd5347a421ca72d126c58e90c22e3b2498d0026c6cb8bb6f5715779dfb00;e6f57949688f74e048debb56d923dc8bb15d17c9b710830fc19e74b6ab4e1909
component:6c072bf2bd520261,Sargon II,val,1,AO 19893-1.jpg,object:louvre_cl010122716,f8300b43208f738eee880c88da7ca5b2c27388f8439e241441e218f159f9e66a
component:6da1b9c482fae118,Sargon II,train,1,BM 118820-1.jpg,object:bm_w_1847_0702_5,a76d17e61754080729873a97394f8e1f4cbac330f2743de695c30512f977a2c0
component:70df518540cb132d,Ashurbanipal,val,2,BM 124933-1.jpg;BM 124933-2.jpg,object:bm_w_1856_0909_17_18_8,3e28473d45df99b1414e3972774f92e7e8eec949a619cda9ab87df9698e21757;f27a8c50662d7bba69bc8e333661464be4cd4480f2c4a1b5dc8926ba1952d810
component:714698abc49698c4,Ashurnasirpal II,train,4,BM 124536-1.jpg;BM 124536-2.jpg;BM 124536-3.jpg;BM 124536-4.jpg,object:bm_w_1847_0623_6,1c579120cb732f332d9452ce122c41ccb835798f55ff0d32ec3ef8b41b2d05eb;3122467a79609c52074f43be4b17608c0a7adade67a4778184b58e02450a896f;7dda9bfe2108ed36a14ee932fa4906b298e16f99f2468b38022100dd68e6893f;ea0bcf25227ccf9385dd235008fa8cc7a1fd465c480b4edb2f2122877b82c050
component:729e44ef2a7f092c,Sargon II,train,6,AO 19872-1.jpg;AO 19872-2.jpg;AO 19872-3.jpg;AO 19872-4.jpg;AO 19872-5.jpg;AO 19872-6.jpg,object:louvre_cl010122697,33e380c240d6e3fe31e172162087ed7fc9f6ebdeb9cdd0b2ab17ff899f40398e;6641ef298759c013a1a2b07c2ffde2c850352805a6ca8ef17f47702052bda648;87bddce5d693bacccca02f29ed2861f053dcc9eadcc98ade9b0f71db2cdc9c40;8d602e045d9903648df5c87186db0df118f4d2be1756d8889847adb74dc3dc1f;b055e3a0a06cd8d75683274fb6eabaf45709ef3b21e47c1b1c32f52b15a6e297;dd800508a216db266d983a6cfae0b4a6bd131a4af64f5c9992e9e8ff3afe3987
